	dest_ip	dest_port	highest layer	length	timestamp
480	172.17.0.2	8080	TCP	74	1521395037.03503
481	172.17.0.1	55308	TCP	74	1521395037.035049
482	172.17.0.2	8080	TCP	66	1521395037.035054
483	172.17.0.2	8080	URLENCODED-FORM	974	1521395037.038065
484	172.17.0.1	55308	TCP	66	1521395037.038079
485	172.17.0.1	55308	TCP	7306	1521395037.110389
486	172.17.0.2	8080	TCP	66	1521395037.110407
487	172.17.0.1	55308	TCP	1826	1521395037.110419
488	172.17.0.2	8080	TCP	66	1521395037.110422
489	172.17.0.1	55308	TCP	3654	1521395037.110504
490	172.17.0.2	8080	TCP	66	1521395037.110511
491	172.17.0.1	55308	DATA-TEXT-LINES	471	1521395037.116765
492	172.17.0.2	8080	TCP	66	1521395037.116772
493	172.17.0.2	8080	TCP	66	1521395037.12045
494	172.17.0.1	55308	TCP	66	1521395037.123826
495	172.17.0.2	8080	TCP	66	1521395037.123842
496	172.17.0.2	8080	TCP	74	1521395046.664397
497	172.17.0.1	36782	TCP	74	1521395046.664416
